User_ID,Age,EstimatedSalary,City,Purchased
1,22.0,49963.209507789,London,0
2,38.0,96057.1445127933,Paris,1
3,,78559.5153449124,Berlin,0
4,35.0,67892.67873576292,London,0
5,,32481.491235394922,,1
6,54.0,32479.56162689621,London,0
7,2.0,24646.68897345596,Paris,1
8,27.0,89294.09166199481,Berlin,1
9,14.0,68089.2009394567,London,1
10,30.0,76645.80622368364,,0
11,22.0,21646.759543664197,London,0
12,38.0,97592.78817295954,Paris,0
13,,86595.41126403374,Berlin,0
14,35.0,36987.12885426209,London,0
15,,34545.99737656805,,0
16,54.0,34672.3607882747,London,0
17,2.0,44339.37943676302,Paris,1
18,27.0,61980.51453057903,Berlin,0
19,14.0,54555.60149136926,London,1
20,30.0,43298.331215843355,,0
21,22.0,68948.23157779036,London,0
22,38.0,31159.508852163344,Paris,0
23,,43371.57188281746,Berlin,1
24,35.0,49308.94746349534,London,1
25,,56485.598737362874,,1
26,54.0,82814.07691144108,London,1
27,2.0,35973.90257266878,Paris,0
28,27.0,61138.75507308893,Berlin,1
29,14.0,67393.1655089634,London,0
30,30.0,23716.033017599817,,0
31,22.0,68603.58815211506,London,1
32,38.0,33641.929894983325,Paris,1
33,,25204.12743882236,Berlin,1
34,35.0,95910.84298026667,London,1
35,,97250.56264596475,,1
36,54.0,84671.7878493169,London,1
37,2.0,44369.10153386966,Paris,1
38,27.0,27813.76912051071,Berlin,1
39,14.0,74738.64212097255,London,0
40,30.0,55212.199499168106,,1
41,22.0,29763.058787582304,London,1
42,38.0,59614.152808901614,Paris,0
43,,22751.08168921747,Berlin,1
44,35.0,92745.63216630256,London,0
45,,40702.39852800136,,0
46,54.0,73001.78274831857,London,1
47,2.0,44936.886087152874,Paris,0
48,27.0,61605.441694224864,Berlin,0
49,14.0,63736.822347462374,London,0
50,30.0,34788.35644204216,,0
51,22.0,97566.77022116468,London,1
52,38.0,82010.62586888915,Paris,0
53,,95159.91532513512,Berlin,1
54,35.0,91586.18803421191,London,0
55,,67831.9983048868,,0
56,54.0,93749.93880184935,London,0
57,2.0,27079.400164153558,Paris,0
58,27.0,35678.628993531616,Berlin,1
59,14.0,23618.183112843046,London,1
60,30.0,46026.42646106114,,0
61,22.0,51094.183175158556,London,0
62,38.0,41707.92254191167,Paris,1
63,,86299.00073215435,Berlin,0
64,35.0,48540.26613548714,London,0
65,,42474.76077499046,,0
66,54.0,63415.686652659875,London,1
67,2.0,31273.93799798101,Paris,1
68,27.0,84175.75846032318,Berlin,1
69,14.0,25964.051494381667,London,0
70,30.0,98950.95492804138,,0
71,22.0,81779.5815437326,London,1
72,38.0,35897.25452273379,Paris,1
73,,20441.769369888192,Berlin,1
74,35.0,85236.91427638673,London,1
75,,76548.58750780937,,0
76,54.0,78320.57344327899,London,1
77,2.0,81701.62773487566,Paris,0
78,27.0,25923.572138727228,Berlin,1
79,14.0,48677.25828354181,London,0
80,30.0,29269.524762010376,,1
81,22.0,89048.27407004748,London,1
82,38.0,69863.85014620464,Paris,1
83,,46471.841988211934,Berlin,1
84,35.0,25084.66802288189,London,0
85,,44878.58573725297,,1
86,54.0,46014.66576213976,London,0
87,2.0,78368.49426704513,Paris,0
88,27.0,71004.59770841704,Berlin,0
89,14.0,90977.01940610612,London,0
90,30.0,57777.194012955944,,1
91,22.0,29567.539675064138,London,0
92,38.0,77059.5829778396,Paris,0
93,,80862.8038893518,Berlin,0
94,35.0,64902.1758055597,London,1
95,,81677.37439636487,,1
96,54.0,59503.64770915126,London,1
97,2.0,61818.62635055953,Paris,1
98,27.0,54203.28146868397,Berlin,0
99,14.0,22033.530139527615,London,0
100,30.0,28631.314159464357,,1
